"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.747000014E-3,-3.257975006E0,5.148094482E0,6.803502045E0
1.871300000E-2,-3.107238464E0,4.995711365E0,6.782994690E0
2.867799997E-2,-2.943778381E0,4.948559418E0,7.005132751E0
3.864399996E-2,-2.842289429E0,4.899012451E0,7.344327393E0
4.860900017E-2,-2.833757172E0,4.870421906E0,7.698041840E0
5.857500015E-2,-2.651885376E0,4.816234589E0,8.433761902E0
6.854000012E-2,-2.622247009E0,4.595593414E0,9.242530060E0
7.850600011E-2,-2.652484131E0,4.321213989E0,9.665550385E0
8.847100008E-2,-2.667602692E0,4.087250519E0,1.010264145E1
9.843700007E-2,-2.737058258E0,3.849245453E0,1.040800644E1
1.084020000E-1,-2.524500275E0,3.610192566E0,9.998009033E0
1.183680000E-1,-2.211800537E0,3.540287933E0,9.838291168E0
1.283330000E-1,-2.082619171E0,3.552113342E0,1.019440063E1
1.382990000E-1,-2.274969177E0,3.446732483E0,9.294921112E0
1.482640000E-1,-2.470911713E0,3.620072021E0,8.076604614E0
1.582300002E-1,-1.479074249E0,3.837569733E0,8.217162323E0
1.681950002E-1,-1.773811340E-1,3.320095825E0,1.001178040E1
1.781610001E-1,1.044976959E0,2.211800537E0,1.051323761E1
1.881260001E-1,1.481618958E0,2.023641815E0,1.012195129E1
1.980920001E-1,1.500779114E0,2.386786652E0,1.044393173E1
2.080570001E-1,1.766775970E0,2.651436310E0,1.021954834E1
2.180230001E-1,2.021396484E0,2.639461212E0,9.791438599E0
2.279880000E-1,2.060315552E0,2.251617737E0,9.251511383E0
2.379540000E-1,2.000440063E0,2.246827698E0,8.931327209E0
2.479190000E-1,2.287243652E0,1.943258972E0,6.309529266E0
2.578840000E-1,1.605710907E0,9.352551270E-1,9.886041870E0
2.678500002E-1,2.500250702E0,-9.095086670E-1,1.114866623E1
2.778150002E-1,3.405119019E0,-1.908980255E0,1.044527893E1
2.877810001E-1,2.846480713E0,-1.358724518E0,9.340276794E0
2.977460001E-1,1.928888855E0,5.502557373E-1,9.561816101E0
3.077120001E-1,1.430575104E0,2.417472839E0,9.216184845E0
3.176770001E-1,1.136287079E0,2.261197815E0,9.318871307E0
3.276430001E-1,1.060993652E0,1.066981201E0,9.442963257E0
3.376080000E-1,9.330097961E-1,2.604583740E-1,9.404942322E0
3.475740000E-1,1.041384430E0,1.941462708E-1,9.336833954E0
3.575390000E-1,1.436113586E0,4.230203247E-1,9.724677429E0
3.675050000E-1,1.841919708E0,3.227288818E-1,9.474846954E0
3.774700002E-1,2.277962952E0,1.778302002E-1,9.433083801E0
3.874360002E-1,2.141746216E0,-1.916015625E-1,9.226513367E0
3.974010001E-1,1.854044495E0,-8.982820129E-1,9.182504883E0
4.073670001E-1,1.201251984E0,-6.077362061E-2,9.686357117E0
4.173320001E-1,6.691085815E-1,1.171463928E0,9.780211945E0
4.272980001E-1,8.045768738E-1,1.891017609E0,1.034633469E1
4.372630001E-1,7.336244202E-1,2.242037659E0,9.711953888E0
4.472290000E-1,5.986051941E-1,2.258653107E0,8.676107941E0
4.571940000E-1,6.915618896E-1,2.378553772E0,8.498277740E0
4.671600000E-1,1.335971832E0,2.854114838E0,9.212292938E0
4.771250000E-1,1.934127960E0,2.504441986E0,9.140142975E0
4.870910000E-1,1.613195343E0,2.023342438E0,8.608448639E0
4.970560002E-1,1.186582489E0,2.186054077E0,8.510552216E0
5.070220002E-1,9.768685913E-1,2.284998322E0,8.851842499E0
5.169870001E-1,9.589059448E-1,2.162552948E0,9.206604767E0
5.269530001E-1,8.446934509E-1,1.945653992E0,9.687105560E0
5.369180001E-1,7.890092468E-1,1.842219086E0,9.748627625E0
5.468840001E-1,8.271798706E-1,1.742676086E0,9.695937195E0
5.568490000E-1,8.620573425E-1,1.613195343E0,9.751022644E0
5.668150000E-1,8.464897156E-1,1.545536041E0,9.802515564E0
5.767800000E-1,6.011499023E-1,1.626517639E0,9.797276459E0
5.867460000E-1,3.288661194E-1,1.864672394E0,9.646539917E0
5.967110000E-1,1.609153748E-1,1.997296600E0,9.560768280E0
6.066770002E-1,1.718426514E-1,1.854343872E0,9.444160767E0
6.166420002E-1,2.228865051E-1,1.754202118E0,9.391769714E0
6.266081252E-1,2.351609802E-1,1.789229279E0,9.389674072E0
6.365731251E-1,2.847079468E-1,1.778751068E0,9.344917145E0
6.465381251E-1,5.656736755E-1,1.728605347E0,9.465416565E0
6.565041251E-1,8.800199890E-1,1.613494720E0,9.548793182E0
6.664691251E-1,1.028810577E0,1.558109894E0,9.645342407E0
6.764351251E-1,7.741900635E-1,1.614392853E0,9.702373810E0
6.864001250E-1,3.436853027E-1,1.633852386E0,9.669591980E0
6.963661250E-1,2.859054565E-2,1.778152313E0,9.602381744E0
7.063311250E-1,-1.445993042E-1,1.926942902E0,9.534123688E0
