"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.674866653E-2,-4.120585130E-1,3.958567189E-1,-7.411521256E-2,5.761838463E-1
2.671166672E-2,-1.728825787E-1,1.864947505E-1,-9.106862962E-2,2.701151112E-1
3.667466668E-2,1.509414501E-1,1.394699804E-2,1.104772925E-2,1.519864877E-1
4.663666664E-2,3.811560513E-1,-1.842931277E-1,6.300901115E-2,4.280350778E-1
5.659966660E-2,1.988621598E-1,-2.382918353E-1,6.579064858E-1,7.274407889E-1
6.656266656E-2,6.301857866E-1,-1.219771212E-1,-2.423822916E-1,6.861207758E-1
7.652466674E-2,3.436565783E-1,2.367700974E-1,-4.780473018E-1,6.345779271E-1
8.648766670E-2,-1.159442016E-1,1.297953967E-1,9.274034858E-2,1.972071884E-1
9.645066666E-2,-3.025777322E-1,2.106800405E-1,2.145378506E-1,4.265745571E-1
1.064126666E-1,-5.877805361E-1,4.160993044E-1,2.791951919E-1,7.723823826E-1
1.163756666E-1,-9.901514187E-1,9.742868994E-1,5.013800311E-1,1.476826574E0
1.263386665E-1,-1.189135018E0,1.487474798E0,8.669409370E-1,2.092417251E0
1.363006667E-1,-9.545621945E-1,7.451296210E-1,6.299532866E-1,1.365008527E0
1.462636667E-1,-5.420450771E-1,5.069165038E-1,4.789694077E-1,8.832830242E-1
1.562266666E-1,-3.035689266E-1,5.509466589E-1,3.219067633E-1,7.066259820E-1
1.661886666E-1,-1.808137968E-1,3.922560035E-1,2.068511009E-1,4.789005945E-1
1.761516666E-1,-1.114960237E-1,2.889818229E-1,7.057881653E-2,3.176841617E-1
1.861146668E-1,-2.209353989E-2,2.986460278E-1,-4.719053864E-2,3.031575851E-1
1.960766667E-1,4.518542790E-2,2.504513761E-1,-1.186136931E-1,2.807789573E-1
2.060396667E-1,7.450132065E-2,8.642637894E-2,-1.499179316E-1,1.884021018E-1
2.160026666E-1,5.852971505E-2,2.779693231E-3,-2.212019223E-1,2.288312581E-1
2.259646666E-1,7.966393699E-2,3.590621643E-2,-1.746411288E-1,1.952821628E-1
2.359276665E-1,1.026288491E-1,-6.319524497E-3,-1.793808818E-1,2.067610161E-1
2.458906667E-1,1.734208149E-1,-1.179397284E-1,-2.719955152E-1,3.434619613E-1
2.558526667E-1,2.921490769E-1,-2.352895459E-1,-3.740042853E-1,5.297088436E-1
2.658156666E-1,4.541019304E-1,-3.365101844E-1,-3.920797831E-1,6.878766050E-1
2.757786666E-1,5.858540247E-1,-4.693219404E-1,-3.355009550E-1,8.222219365E-1
2.857406666E-1,9.675489336E-1,-8.490101579E-1,-6.540017152E-1,1.443844670E0
2.957036668E-1,1.469630557E0,-1.173195727E0,-8.254227823E-1,2.053661355E0
3.056663750E-1,1.170260864E0,-1.195672790E0,-5.019384402E-1,1.746735843E0
3.156283749E-1,6.284121799E-1,-7.774884047E-1,-1.305677408E-1,1.008185510E0
3.255913749E-1,5.481114902E-1,-7.871595532E-1,5.299536198E-1,1.095854556E0
3.355543751E-1,7.941287765E-1,-1.195860851E0,6.246241343E-1,1.565528344E0
3.455163750E-1,6.600124336E-1,-6.307570595E-1,-4.566383064E-2,9.140875593E-1
3.554793750E-1,3.694981286E-1,-2.209320002E-1,-1.527228409E-1,4.567976378E-1
3.654423750E-1,2.768459451E-1,-7.275533292E-2,1.495647597E-1,3.229653745E-1
3.754043749E-1,1.058130326E-1,1.964034422E-1,4.133507842E-1,4.697122318E-1
3.853673749E-1,-1.204840255E-1,5.305822321E-1,3.653135687E-1,6.553532703E-1
3.953303751E-1,-2.310035734E-1,7.550318076E-1,2.818498278E-1,8.383764111E-1
4.052923750E-1,-3.020366454E-1,8.634011058E-1,1.942287165E-1,9.351002080E-1
4.152553750E-1,-4.019317933E-1,9.761482143E-1,1.419347280E-1,1.065157251E0
4.252183749E-1,-4.669533430E-1,9.963371882E-1,1.270898169E-1,1.107648427E0
4.351803749E-1,-4.314039163E-1,9.296746905E-1,8.164934993E-2,1.028139575E0
4.451433751E-1,-3.400811886E-1,7.909420440E-1,-5.772371292E-2,8.628884973E-1
4.551063750E-1,-2.430314239E-1,6.478907901E-1,-5.696182072E-2,6.943136164E-1
4.650683750E-1,-1.540567918E-1,5.120848212E-1,-3.328176677E-2,5.357910368E-1
4.750313750E-1,-1.324560077E-1,3.682488344E-1,-7.270778775E-2,3.980429882E-1
4.849943749E-1,-8.612511942E-2,2.420316779E-1,-4.722445250E-2,2.612030211E-1
4.949563749E-1,-2.168004124E-2,1.676000579E-1,-7.643889606E-2,1.854796712E-1
5.049193751E-1,-9.774808679E-4,1.120295821E-1,-1.435590845E-1,1.821010530E-1
5.148823750E-1,-1.125277466E-2,9.408941086E-2,-9.738946974E-2,1.358828576E-1
5.248443750E-1,5.403483247E-2,9.115845747E-2,2.729772627E-2,1.094293989E-1
5.348073749E-1,8.921132552E-2,6.476814598E-2,4.120591342E-2,1.176923984E-1
5.447703749E-1,1.173080190E-1,1.891775262E-2,-3.501897454E-3,1.188752118E-1
5.547323751E-1,1.364619352E-1,1.701046396E-2,-3.931784749E-2,1.430283495E-1
5.646953750E-1,9.025672546E-2,6.051480822E-2,1.487122357E-2,1.096789487E-1
