"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.369599999E-2,-9.521074295E-1,-1.151320219E0,-3.652382195E-1
3.366099996E-2,-1.209653735E0,-1.178129196E0,-4.165101945E-1
4.362600017E-2,-1.379139900E0,-1.179445386E0,-4.068912864E-1
5.359200016E-2,-1.487858057E0,-1.267994404E0,-4.081043601E-1
6.355700013E-2,-1.510391474E0,-1.395011783E0,-4.172804654E-1
7.352300012E-2,-1.460248470E0,-1.444155574E0,-4.117906392E-1
8.348800009E-2,-1.367095351E0,-1.417285681E0,-3.697875142E-1
9.345400007E-2,-1.285503626E0,-1.431114912E0,-2.834861279E-1
1.034190001E-1,-1.223388553E0,-1.529784679E0,-1.511619985E-1
1.133850000E-1,-1.183498859E0,-1.825538874E0,1.755058393E-2
1.233500000E-1,-1.153954148E0,-2.379878283E0,1.636157483E-1
1.333160000E-1,-1.389996767E0,-2.507236242E0,7.525978982E-2
1.432810000E-1,-1.580063224E0,-2.388411522E0,-1.771357507E-1
1.532470002E-1,-1.814777970E0,-2.082359314E0,-4.242619276E-1
1.632120002E-1,-2.164965630E0,-2.254032612E0,-6.522284746E-1
1.731780001E-1,-2.597067595E0,-2.559428692E0,-8.559197783E-1
1.831430001E-1,-2.915277004E0,-2.715134382E0,-9.076385498E-1
1.931090001E-1,-3.064543486E0,-2.887868166E0,-7.501666546E-1
2.030740001E-1,-3.069569826E0,-3.050971985E0,-4.639140368E-1
2.130400001E-1,-2.970791817E0,-3.154300213E0,-2.036384791E-1
2.230050000E-1,-2.763985634E0,-3.018457413E0,-6.768702716E-2
2.329710000E-1,-2.030431747E0,-2.111340046E0,5.088009685E-2
2.429360000E-1,-1.410277605E0,-8.846607804E-1,1.913629770E-1
2.529020000E-1,-7.918589115E-1,-3.972727358E-1,3.445757031E-1
2.628670002E-1,-4.359595478E-1,-2.600095272E-1,3.267828524E-1
2.728330002E-1,-2.834024727E-1,-4.394407198E-2,1.993415505E-1
2.827980001E-1,-2.581872642E-1,2.326968759E-1,1.478529274E-1
2.927640001E-1,-1.735435128E-1,4.502571523E-1,2.647188306E-1
3.027290001E-1,-4.837115109E-2,5.359008312E-1,5.155391097E-1
3.126950001E-1,7.043885440E-2,3.444823921E-1,6.892762780E-1
3.226600001E-1,2.020581365E-1,-1.373595186E-2,7.020636797E-1
3.326260000E-1,3.749020696E-1,-3.186860085E-1,5.991583467E-1
3.425910000E-1,5.821943283E-1,-4.305069745E-1,4.469442964E-1
3.525570000E-1,8.715087175E-1,-3.872628510E-1,3.316709697E-1
3.625220000E-1,1.162999272E0,-2.000127584E-1,2.362868041E-1
3.724880000E-1,1.468707800E0,-1.517935693E-1,2.104195207E-1
3.824530002E-1,1.760674119E0,-4.386534542E-2,1.862957776E-1
3.924190002E-1,1.995904922E0,1.227079183E-1,7.113776356E-2
4.023840001E-1,2.103178263E0,1.557965279E-1,-1.504954323E-2
4.123500001E-1,2.045997143E0,1.277523786E-1,-1.135467365E-2
4.223150001E-1,1.820039868E0,-1.060910746E-1,7.591482252E-3
4.322810001E-1,1.476495028E0,-1.746429652E-1,4.229114205E-2
4.422460000E-1,1.067036986E0,5.557256564E-2,5.543876439E-2
4.522120000E-1,6.307731271E-1,3.963826001E-1,5.667580664E-2
4.621770000E-1,2.340432703E-1,4.855372906E-1,3.626641259E-2
4.721420000E-1,-1.052479818E-1,4.351603985E-1,-9.757766873E-2
4.821080000E-1,-3.260852396E-1,4.343612790E-1,-2.375047803E-1
4.920730002E-1,-4.709023535E-1,4.856971800E-1,-2.940815091E-1
5.020390002E-1,-5.634961724E-1,5.783656240E-1,-2.280473113E-1
5.120040001E-1,-6.644830108E-1,6.999335885E-1,-4.513553903E-2
5.219700001E-1,-7.299954891E-1,7.461147904E-1,1.956196725E-1
5.319350001E-1,-7.250249386E-1,8.391190171E-1,4.015118480E-1
5.419010001E-1,-6.459015012E-1,9.692804813E-1,4.844794571E-1
5.518660001E-1,-4.998452365E-1,1.024831176E0,4.342807233E-1
5.618320000E-1,-3.156916499E-1,8.714709282E-1,2.385365218E-1
5.717970000E-1,-1.313990355E-1,5.686489940E-1,-1.931792125E-2
5.817630000E-1,2.177725779E-3,2.384323031E-1,-2.006882131E-1
5.917280000E-1,8.273009211E-2,-6.246951409E-3,-2.367463559E-1
6.016940002E-1,1.204735339E-1,-8.903812617E-2,-1.546472013E-1
6.116590002E-1,1.138172299E-1,-6.035348773E-2,-1.587813348E-2
6.216250001E-1,8.021299541E-2,2.735330351E-2,1.392499506E-1
6.315901252E-1,2.259949595E-2,1.590689868E-1,2.355879396E-1
6.415561251E-1,-2.955719829E-2,3.021995127E-1,2.413166016E-1
6.515211251E-1,-5.443032086E-2,4.564101100E-1,1.629251242E-1
6.614871251E-1,-5.879620090E-2,5.466743708E-1,5.639709532E-2
6.714521251E-1,-3.869758919E-2,5.179551244E-1,-4.310632870E-2
6.814181251E-1,-3.412271384E-3,3.673202097E-1,-1.147289574E-1
6.913831250E-1,2.427741140E-2,1.260135770E-1,-1.355466247E-1
7.013491250E-1,3.142211214E-2,-1.241113991E-1,-1.224610731E-1
7.113141250E-1,3.454014286E-2,-2.971132696E-1,-1.088382006E-1
7.212801250E-1,3.257157281E-2,-3.581802547E-1,-8.237308264E-2
7.312451252E-1,3.233126132E-3,-3.120982647E-1,-6.094395742E-2
7.412111252E-1,-4.285234958E-2,-2.062171102E-1,-3.109290451E-2
7.511761251E-1,-8.528289944E-2,-8.552053571E-2,-3.303381428E-2
7.611421251E-1,-1.123273298E-1,6.002620608E-2,-7.222186774E-2
7.711071251E-1,-1.357780695E-1,1.458769441E-1,-1.056370810E-1
7.810731251E-1,-1.472051144E-1,1.866130084E-1,-1.421586424E-1
7.910381251E-1,-1.285248995E-1,1.641689539E-1,-1.646389216E-1
8.010041250E-1,-9.394329041E-2,7.346078753E-2,-1.658530831E-1
8.109691250E-1,-4.515443742E-2,-3.774429858E-2,-1.218430176E-1
8.209341250E-1,-1.728686690E-2,-2.048603445E-1,6.940470077E-3
8.309001250E-1,-6.745070219E-2,-2.730892301E-1,1.458482891E-1
8.408661250E-1,-3.304893896E-2,-2.097600549E-1,2.070666850E-1
8.508311252E-1,6.066051126E-2,-3.194614947E-1,2.084709704E-1
8.607961251E-1,3.480620682E-2,-1.830441654E-1,1.035564542E-1
8.707621251E-1,-4.302920029E-2,-2.616862357E-1,8.261362463E-2
8.807271251E-1,-5.674954131E-2,-1.950001568E-1,2.263790183E-2
8.906931251E-1,-2.141072601E-2,-1.529251337E-1,-3.170443326E-2
9.006581251E-1,1.518579666E-2,-1.561733484E-1,-8.348985761E-2
9.106241250E-1,4.684092849E-2,-1.324728131E-1,-1.360137910E-1
9.205891250E-1,7.975812256E-2,-5.550296232E-2,-1.610036045E-1
9.305551250E-1,1.202517524E-1,7.395862043E-2,-1.286845505E-1
9.405201250E-1,1.301686615E-1,9.747931361E-2,-6.672510505E-2
9.504861250E-1,1.247225031E-1,1.210629344E-1,-2.422550227E-3
9.604511252E-1,9.231100976E-2,7.911680639E-2,3.868300840E-2
9.704171252E-1,3.072328120E-2,9.564438462E-2,2.367396280E-2
9.803821251E-1,8.327427320E-3,1.091519371E-1,-2.102532983E-2
9.903481251E-1,-5.548440386E-3,8.639629185E-2,-8.240160346E-2
1.000313125E0,-2.174293995E-2,5.018721148E-2,-1.169062331E-1
1.010279125E0,-2.894013189E-2,3.224176913E-2,-1.026346236E-1
1.020244125E0,-8.640775457E-3,5.614915863E-2,-4.378220066E-2
1.030210125E0,1.242909022E-2,9.982793033E-2,3.912616055E-3
1.040175125E0,1.286891662E-2,1.438646466E-1,4.362210631E-2
1.050141125E0,1.003744267E-2,1.819086969E-1,6.444669515E-2
1.060106125E0,5.511453841E-3,1.982432604E-1,6.320723891E-2
1.070072125E0,-2.875793725E-4,1.724748015E-1,4.507962614E-2
