"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.841735200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.346797700E-2,-1.091852784E-2,1.510095596E-2,5.299663544E-2,5.617736634E-2
5.851860200E-2,1.178495586E-2,1.814270020E-2,5.239486694E-3,2.225971644E-2
6.356917400E-2,-5.318522453E-3,5.606889725E-3,4.176902771E-2,4.247794215E-2
6.861979900E-2,8.652429283E-2,-2.625131607E-2,7.363700867E-2,1.166104365E-1
7.368563300E-2,1.572682500E0,-4.711210728E-2,3.287153244E-1,1.607359188E0
7.873625800E-2,1.343071461E0,4.418921471E-2,6.409749985E-1,1.488839341E0
8.378683100E-2,2.654766440E-1,2.285410166E-1,6.949996948E-1,7.782887771E-1
8.883745600E-2,-2.217497826E-1,3.074907064E-1,6.094055176E-1,7.177036892E-1
9.388802900E-2,-4.578028321E-1,2.646152973E-1,4.626541138E-1,7.026048090E-1
9.893865400E-2,-5.413728356E-1,1.380090714E-1,3.211402893E-1,6.444083615E-1
1.039763620E-1,-4.357005060E-1,6.766319275E-3,2.756214142E-1,5.156043812E-1
1.090269350E-1,-2.791395783E-1,-1.221098900E-1,2.667770386E-1,4.049687861E-1
1.140775600E-1,-2.192350924E-1,-1.370427608E-1,2.760152817E-1,3.781919880E-1
1.191281330E-1,-1.897473633E-1,-1.666833162E-1,2.953224182E-1,3.885906850E-1
1.241787580E-1,-1.974686980E-1,-1.788022518E-1,2.386960983E-1,3.576869571E-1
1.292293830E-1,-2.513253093E-1,-1.834071875E-1,2.317266464E-1,3.879430965E-1
1.342592270E-1,-2.921944559E-1,-1.399754286E-1,1.560726166E-1,3.596239457E-1
1.393098520E-1,-3.388006389E-1,-1.663578749E-1,8.512592316E-2,3.869201962E-1
1.443604770E-1,-3.724362552E-1,-1.746889353E-1,-3.419208527E-2,4.127881866E-1
1.494110490E-1,-3.732445240E-1,-2.223889828E-1,-1.249971390E-1,4.520980194E-1
1.544616740E-1,-3.996224999E-1,-2.553545237E-1,-2.324180603E-1,5.281308834E-1
1.595122470E-1,-4.023595154E-1,-2.441102266E-1,-3.356056213E-1,5.780260509E-1
1.646004770E-1,-3.732505739E-1,-2.680950165E-1,-4.512243271E-1,6.440452796E-1
1.696510490E-1,-3.572265804E-1,-2.752561569E-1,-5.929384232E-1,7.449515121E-1
1.747016220E-1,-3.125064671E-1,-2.591058016E-1,-7.025947571E-1,8.114403866E-1
1.797522470E-1,-3.115793467E-1,-2.432899475E-1,-7.586040497E-1,8.554249190E-1
1.848028720E-1,-2.860001624E-1,-2.232130766E-1,-8.045196533E-1,8.825372757E-1
1.898534970E-1,-2.526819110E-1,-1.755627394E-1,-8.037719727E-1,8.606508047E-1
1.948954770E-1,-2.304040343E-1,-1.101840734E-1,-7.439937592E-1,7.866087100E-1
1.999461020E-1,-1.953917593E-1,-7.897138596E-2,-6.893901825E-1,7.208836544E-1
2.049967270E-1,-1.571128368E-1,-4.581856728E-2,-6.141328812E-1,6.355650874E-1
2.100472990E-1,-1.667657346E-1,-2.718353271E-2,-5.255880356E-1,5.520801915E-1
2.150979240E-1,-1.367903054E-1,-1.366114616E-2,-4.494524002E-1,4.700060368E-1
2.201485490E-1,-1.334057301E-1,1.120817661E-2,-3.968448639E-1,4.188180489E-1
2.252156330E-1,-1.582132727E-1,-9.002804756E-3,-3.366794586E-1,3.721095914E-1
2.302662580E-1,-1.689541489E-1,3.656506538E-3,-2.597045898E-1,3.098472986E-1
2.353168310E-1,-1.869513690E-1,-8.467435837E-4,-2.618265152E-1,3.217213941E-1
2.403675080E-1,-2.098343521E-1,1.049375534E-2,-2.592992783E-1,3.337314638E-1
2.454180810E-1,-2.281188816E-1,-2.133846283E-5,-2.569065094E-1,3.435683035E-1
2.504686540E-1,-2.186126709E-1,1.019489765E-2,-2.382736206E-1,3.235270531E-1
2.554968310E-1,-2.589992285E-1,8.096098900E-3,-2.248363495E-1,3.430707379E-1
2.605474040E-1,-3.129277229E-1,7.917642593E-3,-2.070693970E-1,3.753187765E-1
2.655979770E-1,-3.100165129E-1,2.763986588E-3,-1.569919586E-1,3.475116587E-1
2.706486020E-1,-2.936992049E-1,-3.297674656E-2,-1.713066101E-1,3.416030495E-1
2.756991740E-1,-2.242216617E-1,-2.847170830E-2,-2.087621689E-1,3.076810604E-1
2.807498520E-1,-1.988700628E-1,-2.198362350E-2,-2.056140900E-1,2.868967333E-1
2.858004240E-1,-1.863272637E-1,-5.550920963E-2,-2.049779892E-1,2.825156591E-1
2.908805810E-1,-2.213770747E-1,-5.096340179E-2,-1.175937653E-1,2.557994745E-1
2.959312060E-1,-3.141787350E-1,-7.486712933E-2,-4.135227203E-2,3.256123078E-1
3.009817790E-1,-3.884512782E-1,-1.338160038E-1,-2.057647705E-2,4.113690677E-1
3.060324040E-1,-4.303546548E-1,-1.190077066E-1,1.628112793E-2,4.468031314E-1
3.110830290E-1,-4.570184946E-1,-1.140853167E-1,3.137588501E-3,4.710532967E-1
3.161336020E-1,-4.735120833E-1,-9.534525871E-2,2.319622040E-2,4.835726171E-1
3.212192270E-1,-4.941510260E-1,-4.185903072E-2,-2.996921539E-2,4.968254913E-1
3.262698520E-1,-4.484038949E-1,-4.586458206E-2,-5.394172668E-2,4.539596047E-1
3.313204770E-1,-4.082639515E-1,-1.686739922E-2,-4.455661774E-2,4.110343726E-1
3.363711020E-1,-3.620694578E-1,2.354907990E-2,-2.360820770E-2,3.636017036E-1
3.414216740E-1,-2.958645225E-1,4.204046726E-2,-6.424045563E-2,3.056632995E-1
3.464722990E-1,-2.167191058E-1,1.167712212E-1,-2.918243408E-3,2.461934302E-1
3.514981330E-1,-1.487184167E-1,8.893299103E-2,8.096981049E-2,1.912651421E-1
3.565487060E-1,-8.946891129E-2,7.040429115E-2,1.377191544E-1,1.786841229E-1
3.615993310E-1,-2.224546671E-2,9.150528908E-2,1.819715500E-1,2.048944209E-1
3.666499560E-1,1.731945574E-2,9.949350357E-2,2.540855408E-1,2.734197923E-1
3.717005290E-1,6.023520231E-2,6.370854378E-2,3.206901550E-1,3.324593715E-1
3.767511540E-1,2.411067486E-3,7.423615456E-2,3.512735367E-1,3.590402728E-1
3.817961020E-1,-2.919687331E-2,1.187555790E-1,3.274879456E-1,3.495764572E-1
3.868467270E-1,-4.479481280E-2,1.163997650E-1,3.020763397E-1,3.268112537E-1
3.918972990E-1,-1.168200374E-2,7.971286774E-2,2.372684479E-1,2.505731966E-1
3.969479240E-1,2.014118433E-2,8.744668961E-2,1.595115662E-1,1.830205742E-1
4.019985490E-1,1.121223718E-1,8.230090141E-2,6.896209717E-2,1.552437937E-1
4.070491220E-1,1.904118806E-1,1.143190861E-1,-1.302337646E-2,2.224750459E-1
4.120953200E-1,2.908819914E-1,7.470059395E-2,-1.055688858E-1,3.183352027E-1
4.171459450E-1,2.949636281E-1,8.560371399E-2,-2.607078552E-1,4.028648948E-1
4.221965180E-1,2.847557664E-1,6.683611870E-2,-4.045791626E-1,4.992366293E-1
4.272471430E-1,2.090226263E-1,4.046106339E-2,-5.469350815E-1,5.869118667E-1
4.322977680E-1,1.379045546E-1,7.745742798E-3,-7.094039917E-1,7.227251802E-1
4.373483410E-1,1.988628320E-2,-3.525876999E-2,-8.399419785E-1,8.409168641E-1
4.423881850E-1,-1.364750862E-1,-9.979200363E-2,-9.131031036E-1,9.286232665E-1
4.474388100E-1,-2.358111888E-1,-1.852221489E-1,-1.050374031E0,1.092336837E0
4.524893830E-1,-3.856649995E-1,-2.883292437E-1,-1.118666649E0,1.217902425E0
4.575400080E-1,-5.597208738E-1,-3.330072165E-1,-1.199333191E0,1.364764216E0
4.625906330E-1,-6.535779834E-1,-4.311593771E-1,-1.218870163E0,1.448691500E0
4.676412060E-1,-7.445911169E-1,-5.158096552E-1,-1.204035759E0,1.506710868E0
4.727181330E-1,-7.645394802E-1,-6.133697033E-1,-1.143301964E0,1.505949000E0
4.777687060E-1,-7.759593129E-1,-6.205605268E-1,-9.966497421E-1,1.407309110E0
4.828193310E-1,-8.005953431E-1,-5.884331465E-1,-8.028020859E-1,1.277379216E0
4.878699040E-1,-7.390680313E-1,-6.013786793E-1,-5.856466293E-1,1.118418457E0
4.929205290E-1,-6.779097915E-1,-6.004313231E-1,-4.399366379E-1,1.006788808E0
4.979711540E-1,-5.603698492E-1,-5.391733646E-1,-3.054246902E-1,8.354678488E-1
5.030301640E-1,-4.896729290E-1,-5.375034809E-1,-1.415166855E-1,7.407540359E-1
5.080807370E-1,-4.161871374E-1,-4.747076035E-1,3.032779694E-2,6.320433667E-1
5.131313620E-1,-3.451415896E-1,-4.184708595E-1,2.220201492E-1,5.861173294E-1
5.181819870E-1,-3.098775744E-1,-3.337123394E-1,3.955535889E-1,6.032003633E-1
5.232325600E-1,-2.815995812E-1,-2.830014229E-1,5.915441513E-1,7.136614130E-1
5.282831850E-1,-2.342892885E-1,-2.356649637E-1,7.624483109E-1,8.317192270E-1
5.333231850E-1,-2.389109582E-1,-1.779569387E-1,8.659553528E-1,9.157651396E-1
5.383737580E-1,-2.587649822E-1,-1.812049150E-1,1.004726410E0,1.053218731E0
5.434243830E-1,-2.742447555E-1,-1.860939264E-1,1.147690773E0,1.194585805E0
5.484750080E-1,-3.039997816E-1,-1.667964458E-1,1.195255280E0,1.244536904E0
5.535256330E-1,-3.523848057E-1,-1.969845295E-1,1.252696991E0,1.316141219E0
5.585762580E-1,-4.045686424E-1,-2.075127363E-1,1.215574265E0,1.297828230E0
5.636515700E-1,-4.318897724E-1,-2.366938591E-1,1.108534813E0,1.213013681E0
5.687021430E-1,-4.204082787E-1,-2.959897518E-1,9.701461792E-1,1.097969336E0
5.737527680E-1,-4.296861589E-1,-3.299866915E-1,7.578754425E-1,9.316096812E-1
5.788033930E-1,-3.816449046E-1,-3.289768696E-1,5.031461716E-1,7.120636797E-1
5.838540180E-1,-3.602860272E-1,-3.497757912E-1,2.584333420E-1,5.647450024E-1
5.889045910E-1,-3.707210422E-1,-3.037978411E-1,3.773307800E-2,4.807816599E-1
5.939130290E-1,-3.585235775E-1,-2.738074064E-1,-1.546239853E-1,4.768838729E-1
5.989636540E-1,-3.525514603E-1,-2.025268078E-1,-2.952156067E-1,5.024558632E-1
6.040142270E-1,-3.199053705E-1,-1.419378519E-1,-4.250001907E-1,5.505551398E-1
6.090648520E-1,-2.631568909E-1,-7.014393806E-2,-4.753103256E-1,5.478061947E-1
6.141154240E-1,-1.730006039E-1,-1.049709320E-2,-5.110454559E-1,5.396358550E-1
6.191660490E-1,-1.016665101E-1,3.965437412E-2,-5.086116791E-1,5.201868787E-1
6.242068830E-1,-2.959644794E-2,1.115173101E-1,-4.944944382E-1,5.077763381E-1
6.292575080E-1,8.396005630E-2,1.268522739E-1,-4.403390884E-1,4.658747721E-1
6.343080810E-1,1.514063478E-1,1.503536701E-1,-4.034824371E-1,4.564298252E-1
6.393587060E-1,2.048211843E-1,1.059554815E-1,-3.362569809E-1,4.077340295E-1
6.444093310E-1,2.280556560E-1,1.011080742E-1,-2.745351791E-1,3.709471518E-1
6.494599560E-1,2.502231002E-1,1.213258505E-1,-2.681694031E-1,3.863242040E-1
6.545355290E-1,2.619538307E-1,1.212650537E-1,-3.166837692E-1,4.285016130E-1
6.595861020E-1,2.256062180E-1,1.582895517E-1,-3.602695465E-1,4.535944157E-1
6.646367270E-1,2.006663531E-1,1.631534100E-1,-3.752155304E-1,4.557112185E-1
6.696873520E-1,1.535732746E-1,1.457839012E-1,-4.449415207E-1,4.927582098E-1
6.747379240E-1,9.594947100E-2,1.158599854E-1,-4.549779892E-1,4.792022619E-1
6.797885490E-1,3.705395758E-2,1.092746258E-1,-5.103826523E-1,5.232632142E-1
6.848277160E-1,-1.942828298E-3,1.043981314E-1,-4.967470169E-1,5.076025445E-1
6.898782890E-1,-7.404662669E-2,8.686101437E-2,-4.098844528E-1,4.254797332E-1
6.949288620E-1,-1.267535090E-1,8.268845081E-2,-2.955026627E-1,3.320024934E-1
6.999795390E-1,-1.764727533E-1,9.150934219E-2,-1.799011230E-1,2.681063342E-1
7.050301120E-1,-1.968931854E-1,5.594599247E-2,-6.541156769E-2,2.148849779E-1
7.100807370E-1,-1.883597374E-1,4.613757133E-3,4.327583313E-2,1.933222056E-1
7.151527160E-1,-2.151813656E-1,-1.977264881E-2,1.391172409E-1,2.569972460E-1
7.202032890E-1,-2.389506251E-1,-4.155933857E-2,2.412986755E-1,3.421251681E-1
7.252539140E-1,-2.240067720E-1,-4.669320583E-2,2.999172211E-1,3.772394848E-1
7.303045390E-1,-2.419249564E-1,-4.755580425E-2,3.676652908E-1,4.426816070E-1
7.353551120E-1,-2.710887194E-1,-9.195601940E-2,4.635210037E-1,5.447905324E-1
7.404057370E-1,-2.588866949E-1,-9.622764587E-2,4.850769043E-1,5.581950230E-1
7.454537580E-1,-2.556415200E-1,-1.252653599E-1,4.829168320E-1,5.605824326E-1
7.505043310E-1,-2.210131288E-1,-1.764813662E-1,4.667348862E-1,5.457416327E-1
7.555549040E-1,-1.671621203E-1,-1.497189999E-1,4.603652954E-1,5.121475946E-1
7.606055810E-1,-1.633258164E-1,-1.479296684E-1,4.281187057E-1,4.815019577E-1
7.656561540E-1,-1.424084008E-1,-1.588730812E-1,3.464288712E-1,4.068584168E-1
7.707067790E-1,-1.334010363E-1,-1.754180193E-1,3.321208954E-1,3.985870132E-1
7.757246950E-1,-1.033673882E-1,-1.711704731E-1,3.133144379E-1,3.716854649E-1
7.807752680E-1,-6.198084354E-2,-1.366196871E-1,2.496271133E-1,2.912391793E-1
7.858258930E-1,-9.389966726E-3,-1.316959858E-1,1.628665924E-1,2.096605139E-1
7.908765180E-1,7.799161971E-2,-9.169769287E-2,1.196765900E-1,1.697458271E-1
7.959271430E-1,9.536892176E-2,-8.079457283E-2,5.788230896E-2,1.377438054E-1
8.009777160E-1,1.477320641E-1,-8.205604553E-2,-4.613208771E-2,1.751745612E-1
8.060280810E-1,1.656921059E-1,-8.820128441E-2,-5.425071716E-2,1.953880263E-1
8.110787060E-1,2.256989777E-1,-4.672288895E-2,-1.074647903E-1,2.543063862E-1
8.161293310E-1,2.419119179E-1,-7.430958748E-2,-1.840381622E-1,3.129110672E-1
8.211799040E-1,2.505097985E-1,-3.499388695E-2,-1.673660278E-1,3.033003768E-1
8.262305290E-1,2.446136773E-1,-5.734956264E-2,-1.224107742E-1,2.794802696E-1
8.312811020E-1,2.003705353E-1,-6.494116783E-2,-7.315158844E-2,2.229727821E-1
8.363669870E-1,2.206622064E-1,-6.488764286E-2,-9.802722931E-2,2.500231054E-1
8.414175600E-1,2.077805102E-1,-7.631850243E-2,-6.574821472E-2,2.309114158E-1
8.464681850E-1,1.690880060E-1,-1.229152679E-1,-5.042934418E-2,2.150396141E-1
