"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.267713900E-2,2.219955027E-1,2.529049397E0,9.560838699E0
5.771536800E-2,5.431050062E-2,2.476348400E0,9.812366486E0
6.275365000E-2,-1.755449921E-2,2.524258614E0,9.745292664E0
6.783854600E-2,-1.277475059E-1,2.543422461E0,9.776433945E0
7.287682700E-2,-1.900305003E-1,2.550609112E0,9.821948051E0
7.794474300E-2,-1.876350045E-1,2.562586546E0,9.790806770E0
8.298302500E-2,-2.331494987E-1,2.543422461E0,9.750083923E0
8.804703500E-2,-1.612845063E-1,2.538631439E0,9.735710144E0
9.310198300E-2,-8.702400327E-2,2.584146023E0,9.824343681E0
9.815885800E-2,1.598249935E-2,2.641638041E0,9.817157745E0
1.032345870E-1,1.429439932E-1,2.636847019E0,9.757269859E0
1.082654730E-1,1.884585023E-1,2.672779560E0,9.644681931E0
1.133206810E-1,2.363685071E-1,2.711107492E0,9.465019226E0
1.183668790E-1,3.130244911E-1,2.828486919E0,9.306916237E0
1.233934410E-1,3.441660106E-1,2.862024069E0,9.139230728E0
1.284824520E-1,4.088445008E-1,2.900352001E0,8.969150543E0
1.335359930E-1,4.783140123E-1,2.921911478E0,8.902076721E0
1.385817750E-1,5.046644807E-1,2.909934044E0,8.914053917E0
1.436337540E-1,5.382015109E-1,2.845255613E0,8.997896194E0
1.486654210E-1,4.783140123E-1,2.780576944E0,9.163186073E0
1.537284930E-1,3.633300066E-1,2.715898514E0,9.316497803E0
1.587782330E-1,2.723009884E-1,2.615287542E0,9.512928963E0
1.638221910E-1,1.764809936E-1,2.536236048E0,9.671031952E0
1.688805250E-1,8.784750104E-2,2.481139421E0,9.867463112E0
1.739340660E-1,2.556449920E-2,2.471557617E0,9.960887909E0
1.789604730E-1,-5.576999858E-3,2.440416098E0,1.008305836E1
1.840036500E-1,2.556449920E-2,2.454788923E0,1.023397446E1
1.890723480E-1,2.796000056E-2,2.476348400E0,1.030583954E1
1.941240660E-1,6.389249861E-2,2.459579945E0,1.026032543E1
1.991766710E-1,6.868349761E-2,2.447602510E0,1.021960163E1
2.042454210E-1,1.285710037E-1,2.459579945E0,1.017887783E1
2.092791710E-1,1.836674958E-1,2.452393532E0,1.000400639E1
2.143314620E-1,1.740854979E-1,2.512280941E0,9.836321831E0
2.193810980E-1,2.291820049E-1,2.500303507E0,9.735710144E0
2.244314620E-1,2.196000069E-1,2.514676571E0,9.620726585E0
2.294880770E-1,2.219955027E-1,2.562586546E0,9.572816849E0
2.345383890E-1,2.818830013E-1,2.567377567E0,9.563234329E0
2.395901080E-1,3.273974955E-1,2.586541414E0,9.568025589E0
2.446438060E-1,3.345839977E-1,2.569772959E0,9.582398415E0
2.497097430E-1,3.106290102E-1,2.579355001E0,9.671031952E0
2.547557850E-1,3.106290102E-1,2.564981937E0,9.733315468E0
2.598133890E-1,2.291820049E-1,2.567377567E0,9.745292664E0
2.648795350E-1,8.545199782E-2,2.553004503E0,9.750083923E0
2.699163060E-1,-3.671849892E-2,2.505094528E0,9.671031952E0
2.749641710E-1,-1.157699972E-1,2.493117094E0,9.603958130E0
2.800112020E-1,-2.020079941E-1,2.478744030E0,9.469809532E0
2.850582850E-1,-2.810595036E-1,2.459579945E0,9.347639084E0
2.901146390E-1,-3.026190102E-1,2.469161987E0,9.184745789E0
2.951682850E-1,-3.720884919E-1,2.514676571E0,9.129649162E0
3.002379210E-1,-3.840659857E-1,2.519467592E0,9.105693817E0
3.052833890E-1,-3.744840026E-1,2.543422461E0,9.074552536E0
3.103367750E-1,-3.122009933E-1,2.555399895E0,9.055388451E0
3.153809930E-1,-2.235675007E-1,2.596123457E0,9.005083084E0
3.204421390E-1,-1.708665043E-1,2.646429062E0,8.976337433E0
3.254894830E-1,-1.469115019E-1,2.699130058E0,9.052992821E0
3.305470870E-1,-1.349339932E-1,2.727875948E0,9.179954529E0
3.355951080E-1,-1.133745015E-1,2.732666969E0,9.285356522E0
3.406444310E-1,-1.229564995E-1,2.725480556E0,9.376385689E0
3.457019310E-1,-1.445160061E-1,2.730271578E0,9.476996422E0
3.507415140E-1,-1.277475059E-1,2.744644403E0,9.512928963E0
3.558050560E-1,-1.900305003E-1,2.747040033E0,9.532093048E0
3.609024520E-1,-2.762685120E-1,2.713502884E0,9.589585304E0
3.658854730E-1,-2.906414866E-1,2.699130058E0,9.596771240E0
