"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.907637000E-2,-4.372889996E-1,-1.709990576E-2,-4.854868948E-1
8.411767200E-2,-4.511339962E-1,-2.135990560E-2,-4.982669055E-1
8.918079700E-2,-4.617840052E-1,-7.514906116E-3,-4.865519106E-1
9.422574500E-2,-4.607190192E-1,1.804509386E-2,-4.790969193E-1
9.928933800E-2,-4.351589978E-1,5.638509616E-2,-4.812269211E-1
1.043285570E-1,-3.744540215E-1,1.043100879E-1,-4.801619053E-1
1.093783490E-1,-2.967090011E-1,1.458451003E-1,-4.759019017E-1
1.144486610E-1,-2.157689929E-1,1.777950972E-1,-4.641869068E-1
1.194973070E-1,-1.305689961E-1,2.012251019E-1,-4.492768943E-1
1.245416300E-1,-4.323900118E-2,2.161350995E-1,-4.301069081E-1
1.295849630E-1,3.770099953E-2,2.214601040E-1,-4.130668938E-1
1.346451200E-1,1.101209968E-1,2.118750960E-1,-3.949618936E-1
1.396856400E-1,1.761510074E-1,1.863151044E-1,-3.779219091E-1
1.447382970E-1,2.379209995E-1,1.458451003E-1,-3.651418984E-1
1.497970990E-1,2.869109809E-1,1.011150926E-1,-3.523619175E-1
1.548483490E-1,3.359009922E-1,5.958009511E-2,-3.438419104E-1
1.599035050E-1,3.753059804E-1,2.230509371E-2,-3.374519050E-1
1.649441300E-1,4.051260054E-1,-1.709990576E-2,-3.385169208E-1
1.700008490E-1,4.242959917E-1,-5.437490717E-2,-3.438419104E-1
1.750534010E-1,4.306859970E-1,-9.164991230E-2,-3.608818948E-1
1.800961090E-1,4.211010039E-1,-1.235999092E-1,-3.875069022E-1
1.851489740E-1,4.029960036E-1,-1.480949074E-1,-4.162619114E-1
1.902089740E-1,3.689160049E-1,-1.619399041E-1,-4.471469223E-1
1.952567860E-1,3.263159990E-1,-1.672649086E-1,-4.833569229E-1
2.003124110E-1,2.826509774E-1,-1.672649086E-1,-5.163719058E-1
2.053589740E-1,2.315310091E-1,-1.693948954E-1,-5.504518747E-1
2.104088700E-1,1.825410128E-1,-1.747198999E-1,-5.824018717E-1
