"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.804703500E-2,-2.513400093E-2,2.763009444E-2,-4.138190299E-2
9.310198300E-2,-1.128899958E-2,1.165509317E-2,-3.286190331E-2
9.815885800E-2,1.746599935E-2,-1.390490681E-2,-2.966690622E-2
1.032345870E-1,5.793599784E-2,-3.626990691E-2,-3.073190711E-2
1.082654730E-1,9.095100313E-2,-5.437490717E-2,-3.179690987E-2
1.133206810E-1,1.122509986E-1,-6.715490669E-2,-3.499190509E-2
1.183668790E-1,1.197059974E-1,-7.460991293E-2,-4.457690567E-2
1.233934410E-1,1.101209968E-1,-7.673990726E-2,-5.309690535E-2
1.284824520E-1,8.988600224E-2,-7.247991115E-2,-6.587690860E-2
1.335359930E-1,5.793599784E-2,-6.608990580E-2,-8.398190886E-2
1.385817750E-1,1.853100024E-2,-5.969990417E-2,-1.010219082E-1
1.436337540E-1,-1.661400124E-2,-5.650490522E-2,-1.191269085E-1
1.486654210E-1,-4.962899908E-2,-4.798490554E-2,-1.393619031E-1
1.537284930E-1,-7.625400275E-2,-3.839990497E-2,-1.510769129E-1
1.587782330E-1,-9.009899944E-2,-2.987990528E-2,-1.574669033E-1
1.638221910E-1,-9.542400390E-2,-2.668490633E-2,-1.595969051E-1
1.688805250E-1,-9.435900301E-2,-2.881490625E-2,-1.564019024E-1
1.739340660E-1,-8.370900154E-2,-2.774990536E-2,-1.468169093E-1
1.789604730E-1,-6.986399740E-2,-2.881490625E-2,-1.382969022E-1
1.840036500E-1,-4.856400192E-2,-2.881490625E-2,-1.351019144E-1
1.890723480E-1,-1.767900027E-2,-3.200990707E-2,-1.287119091E-1
1.941240660E-1,1.214100048E-2,-3.413990512E-2,-1.244519055E-1
1.991766710E-1,4.196099937E-2,-3.413990512E-2,-1.223219112E-1
2.042454210E-1,6.645599753E-2,-2.455490641E-2,-1.180619076E-1
2.092791710E-1,8.988600224E-2,-8.579906076E-3,-1.201919094E-1
2.143314620E-1,1.047959998E-1,-6.449906621E-3,-1.233869046E-1
2.193810980E-1,1.079910025E-1,-7.514906116E-3,-1.276469082E-1
2.244314620E-1,1.090559959E-1,-1.177490689E-2,-1.329719126E-1
2.294880770E-1,1.058610007E-1,-2.242490463E-2,-1.372319013E-1
2.345383890E-1,9.947100282E-2,-3.413990512E-2,-1.446869075E-1
2.395901080E-1,9.414599836E-2,-3.626990691E-2,-1.532069147E-1
2.446438060E-1,8.775600046E-2,-3.094490618E-2,-1.617269069E-1
2.497097430E-1,8.562599868E-2,-2.348990552E-2,-1.755719036E-1
2.547557850E-1,8.349599689E-2,-1.709990576E-2,-1.883519143E-1
2.598133890E-1,8.349599689E-2,-6.449906621E-3,-2.011319101E-1
2.648795350E-1,8.775600046E-2,6.330093369E-3,-2.107169032E-1
2.699163060E-1,9.095100313E-2,2.656509541E-2,-2.128469050E-1
2.749641710E-1,1.005359963E-1,4.893009365E-2,-2.085869014E-1
2.800112020E-1,1.090559959E-1,6.810008734E-2,-2.032619119E-1
2.850582850E-1,1.111859977E-1,6.916508824E-2,-1.979369074E-1
2.901146390E-1,1.079910025E-1,6.277509034E-2,-1.872869134E-1
2.951682850E-1,1.047959998E-1,5.319009349E-2,-1.755719036E-1
3.002379210E-1,1.037309989E-1,4.467009380E-2,-1.649219096E-1
3.052833890E-1,1.047959998E-1,2.976009436E-2,-1.532069147E-1
3.103367750E-1,1.047959998E-1,1.378509402E-2,-1.425569057E-1
3.153809930E-1,9.840600193E-2,-5.384906661E-3,-1.351019144E-1
3.204421390E-1,8.775600046E-2,-2.774990536E-2,-1.340369135E-1
3.254894830E-1,7.923600078E-2,-5.117990449E-2,-1.340369135E-1
3.305470870E-1,6.858599931E-2,-6.608990580E-2,-1.351019144E-1
3.355951080E-1,6.539099663E-2,-7.034990937E-2,-1.361669153E-1
3.406444310E-1,6.432600319E-2,-7.247991115E-2,-1.393619031E-1
3.457019310E-1,6.645599753E-2,-7.673990726E-2,-1.436219066E-1
3.507415140E-1,6.965100020E-2,-8.099991083E-2,-1.521419138E-1
3.558050560E-1,7.604099810E-2,-8.099991083E-2,-1.574669033E-1
3.609024520E-1,8.136600256E-2,-7.567490637E-2,-1.606619060E-1
3.658854730E-1,8.775600046E-2,-7.034990937E-2,-1.617269069E-1
3.709222960E-1,9.414599836E-2,-6.715490669E-2,-1.617269069E-1
3.759862020E-1,9.201599658E-2,-6.182990596E-2,-1.627919078E-1
3.810360980E-1,8.882100135E-2,-5.863490701E-2,-1.606619060E-1
3.860875040E-1,8.030100167E-2,-5.756990612E-2,-1.585319042E-1
3.911364100E-1,6.965100020E-2,-5.117990449E-2,-1.532069147E-1
3.961853680E-1,6.006599963E-2,-4.159490392E-2,-1.457519084E-1
4.012401600E-1,5.048099905E-2,-2.455490641E-2,-1.404269040E-1
4.062969830E-1,3.663599864E-2,-1.177490689E-2,-1.414919049E-1
4.113445350E-1,2.918099985E-2,2.070093527E-3,-1.382969022E-1
4.163964620E-1,2.066100016E-2,8.460094221E-3,-1.329719126E-1
4.214450560E-1,1.320600044E-2,1.804509386E-2,-1.297769099E-1
4.265022430E-1,1.214100048E-2,2.869509533E-2,-1.233869046E-1
4.315485460E-1,1.107600052E-2,3.934509307E-2,-1.180619076E-1
4.366242230E-1,1.107600052E-2,4.680009559E-2,-1.127369106E-1
4.416611500E-1,1.640100032E-2,5.319009349E-2,-1.106069088E-1
4.467105770E-1,1.959599927E-2,5.958009511E-2,-1.106069088E-1
4.517617230E-1,2.598599903E-2,6.171009317E-2,-1.138019115E-1
4.568235460E-1,3.131099790E-2,6.064509600E-2,-1.180619076E-1
4.618683370E-1,3.770099953E-2,4.893009365E-2,-1.244519055E-1
4.669289620E-1,4.515599832E-2,3.934509307E-2,-1.329719126E-1
4.719731810E-1,5.367599800E-2,3.082509525E-2,-1.372319013E-1
4.770256810E-1,6.965100020E-2,2.017509378E-2,-1.361669153E-1
4.820789100E-1,8.456099778E-2,1.485009398E-2,-1.329719126E-1
4.871223480E-1,9.840600193E-2,2.070093527E-3,-1.287119091E-1
4.921837540E-1,1.133159995E-1,-1.390490681E-2,-1.223219112E-1
4.972352640E-1,1.239660010E-1,-2.242490463E-2,-1.201919094E-1
5.022925560E-1,1.324860007E-1,-2.774990536E-2,-1.169969067E-1
5.073322430E-1,1.420710087E-1,-3.307490423E-2,-1.159319058E-1
5.123861500E-1,1.537860036E-1,-3.413990512E-2,-1.127369106E-1
5.174428160E-1,1.708260030E-1,-3.839990497E-2,-1.106069088E-1
5.224912540E-1,1.878660023E-1,-4.372490570E-2,-1.095419079E-1
5.275396910E-1,2.006460130E-1,-5.117990449E-2,-1.074119061E-1
5.325847430E-1,2.134260088E-1,-5.543990433E-2,-1.074119061E-1
5.376353160E-1,2.219460011E-1,-6.076490507E-2,-1.116719097E-1
5.426672430E-1,2.262060046E-1,-6.608990580E-2,-1.138019115E-1
5.477045870E-1,2.251410037E-1,-6.395991147E-2,-1.169969067E-1
5.527591710E-1,2.176860124E-1,-5.863490701E-2,-1.201919094E-1
5.578042750E-1,1.974510103E-1,-5.011490732E-2,-1.233869046E-1
5.628425040E-1,1.740210056E-1,-4.904990643E-2,-1.255169064E-1
5.680307850E-1,1.463310122E-1,-4.478990659E-2,-1.233869046E-1
5.729804210E-1,1.165110022E-1,-3.307490423E-2,-1.159319058E-1
5.780150040E-1,9.095100313E-2,-1.283990685E-2,-1.074119061E-1
5.830556290E-1,7.284600288E-2,1.378509402E-2,-9.995690733E-2
5.881119830E-1,6.006599963E-2,4.147509485E-2,-8.930690587E-2
5.931576600E-1,5.261100084E-2,5.638509616E-2,-8.185190707E-2
5.982021390E-1,5.154599994E-2,6.384009123E-2,-7.652691007E-2
6.032726600E-1,6.006599963E-2,6.916508824E-2,-7.013690472E-2
6.083264100E-1,7.497599721E-2,7.555509359E-2,-6.268190593E-2
6.133764620E-1,9.521099925E-2,7.236009091E-2,-5.522690713E-2
6.184222960E-1,1.133159995E-1,7.236009091E-2,-4.457690567E-2
6.234724000E-1,1.314209998E-1,6.810008734E-2,-3.073190711E-2
6.285295870E-1,1.442010105E-1,6.277509034E-2,-2.114690654E-2
6.335839100E-1,1.505910009E-1,5.638509616E-2,-9.431906044E-3
6.386228680E-1,1.527210027E-1,4.467009380E-2,1.530938316E-4
6.436710460E-1,1.495260000E-1,2.869509533E-2,6.543093827E-3
6.487266180E-1,1.399410069E-1,1.272009313E-2,1.186809409E-2
6.537863060E-1,1.271610111E-1,-5.384906661E-3,1.399809401E-2
6.588393790E-1,1.143810004E-1,-2.348990552E-2,1.506309398E-2
6.638870870E-1,9.840600193E-2,-4.159490392E-2,9.738094173E-3
6.689404730E-1,7.923600078E-2,-5.650490522E-2,1.530938316E-4
6.739867230E-1,5.687100068E-2,-6.928490847E-2,-6.236906163E-3
6.790376080E-1,4.409100115E-2,-7.993490994E-2,-8.366906084E-3
6.840932850E-1,4.089599848E-2,-7.886990905E-2,-1.049690600E-2
6.891833890E-1,4.622099921E-2,-7.780490816E-2,-9.431906044E-3
6.941931290E-1,5.580599979E-2,-7.567490637E-2,-5.171906203E-3
6.992488580E-1,7.071600109E-2,-7.673990726E-2,-1.976906089E-3
7.043134930E-1,9.521099925E-2,-8.206491172E-2,2.283093752E-3
7.093506290E-1,1.229010001E-1,-8.419490606E-2,1.186809409E-2
7.144060980E-1,1.537860036E-1,-8.845490962E-2,2.145309374E-2
7.194495870E-1,1.804110110E-1,-7.780490816E-2,3.210309148E-2
7.244908890E-1,2.059710026E-1,-6.608990580E-2,4.275309294E-2
