"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.841464100E-2,-4.774905145E-1,2.375737429E0,1.000400639E1
4.341578600E-2,-5.373780131E-1,2.375737429E0,1.020522881E1
4.844193200E-2,-5.565419793E-1,2.335014105E0,1.022199726E1
5.344307800E-2,-6.619439721E-1,2.289499521E0,1.012617683E1
5.853266100E-2,-7.553684711E-1,2.258358002E0,9.977656364E0
6.358646400E-2,-8.583750129E-1,2.222425461E0,9.857880592E0
6.860151600E-2,-9.709634781E-1,2.234402895E0,9.706964493E0
7.365531800E-2,-1.004500508E0,2.246380568E0,9.685404778E0
7.875193200E-2,-1.014082551E0,2.313454390E0,9.663845062E0
8.376214100E-2,-9.901275039E-1,2.313454390E0,9.599166870E0
8.883698400E-2,-9.853364825E-1,2.315850019E0,9.505742073E0
9.386771400E-2,-8.823300004E-1,2.339804888E0,9.421899796E0
9.892797400E-2,-7.817190289E-1,2.368551016E0,9.362012863E0
1.039582860E-1,-6.906899810E-1,2.433229446E0,9.275774956E0
1.090244320E-1,-6.212205291E-1,2.471557617E0,9.175163269E0
1.140631300E-1,-5.206094980E-1,2.473953009E0,9.052992821E0
1.191437550E-1,-4.726994932E-1,2.466766596E0,8.945195198E0
1.241703700E-1,-4.415580034E-1,2.473953009E0,8.985918999E0
1.292498490E-1,-4.966545105E-1,2.418856382E0,9.081739426E0
1.342744320E-1,-4.726994932E-1,2.397296906E0,9.206304550E0
1.393147450E-1,-5.014454722E-1,2.375737429E0,9.369198799E0
1.443631820E-1,-5.373780131E-1,2.349386930E0,9.457832336E0
1.494113590E-1,-5.685194731E-1,2.315850019E0,9.580002785E0
1.544841200E-1,-5.852879882E-1,2.243984938E0,9.651867867E0
1.595306820E-1,-6.164295077E-1,2.198470592E0,9.647076607E0
1.645766720E-1,-6.331980228E-1,2.162538052E0,9.680614471E0
1.696439110E-1,-6.978765130E-1,2.133791924E0,9.683009148E0
1.746933910E-1,-6.811079979E-1,2.162538052E0,9.666240692E0
1.797412550E-1,-6.475710273E-1,2.186492920E0,9.642286301E0
1.847791200E-1,-5.828924775E-1,2.217634439E0,9.591980934E0
1.898015160E-1,-5.589374900E-1,2.196074963E0,9.534488678E0
1.948962550E-1,-5.397735238E-1,2.188888550E0,9.438668251E0
1.999162030E-1,-5.661240220E-1,2.220030069E0,9.342848778E0
2.049847970E-1,-5.757060051E-1,2.181701899E0,9.211095810E0
