"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.875193200E-2,-6.832307577E-2,-6.556905061E-2,3.562258556E-2
8.376214100E-2,-6.086808071E-2,-7.621905208E-2,3.775258735E-2
8.883698400E-2,-4.276308045E-2,-1.007140502E-1,5.479258671E-2
9.386771400E-2,-2.998307720E-2,-1.326640546E-1,7.076758891E-2
9.892797400E-2,-2.252807841E-2,-1.582240611E-1,7.609258592E-2
1.039582860E-1,-2.359307930E-2,-1.827190667E-1,7.502758503E-2
1.090244320E-1,-3.104807809E-2,-2.008240670E-1,6.437758356E-2
1.140631300E-1,-4.169807956E-2,-2.146690637E-1,4.946758598E-2
1.191437550E-1,-6.619308144E-2,-2.306440622E-1,2.603758685E-2
1.241703700E-1,-9.601307660E-2,-2.412940562E-1,2.607585862E-3
1.292498490E-1,-1.226380765E-1,-2.380990535E-1,-1.762741432E-2
1.342744320E-1,-1.492630839E-1,-2.285140604E-1,-3.360241279E-2
1.393147450E-1,-1.694980860E-1,-2.157340646E-1,-4.744741321E-2
1.443631820E-1,-1.790830791E-1,-2.040190548E-1,-5.490241200E-2
1.494113590E-1,-1.833430827E-1,-1.965640634E-1,-5.916241556E-2
1.544841200E-1,-1.801480800E-1,-1.912390590E-1,-5.916241556E-2
1.595306820E-1,-1.694980860E-1,-1.891090572E-1,-5.703241378E-2
1.645766720E-1,-1.588480771E-1,-1.891090572E-1,-5.064241216E-2
1.696439110E-1,-1.471330822E-1,-1.859140545E-1,-4.105741531E-2
1.746933910E-1,-1.354180723E-1,-1.859140545E-1,-3.360241279E-2
1.797412550E-1,-1.247680783E-1,-1.869790554E-1,-2.401741408E-2
1.847791200E-1,-1.151830778E-1,-1.912390590E-1,-1.656241342E-2
1.898015160E-1,-1.077280790E-1,-1.944340616E-1,-8.042413741E-3
1.948962550E-1,-1.055980772E-1,-1.933690608E-1,-2.717413940E-3
1.999162030E-1,-1.087930799E-1,-1.901740581E-1,5.802586209E-3
2.049847970E-1,-1.194430813E-1,-1.944340616E-1,1.006258652E-2
2.100519840E-1,-1.332880855E-1,-2.018890679E-1,1.325758640E-2
2.150885470E-1,-1.524580717E-1,-2.136040628E-1,1.325758640E-2
2.201393800E-1,-1.716280729E-1,-2.285140604E-1,1.006258652E-2
2.251641200E-1,-1.950580776E-1,-2.412940562E-1,3.672586055E-3
2.302089640E-1,-2.184880823E-1,-2.508790493E-1,-8.042413741E-3
2.352733390E-1,-2.419180721E-1,-2.562040389E-1,-1.762741432E-2
2.403650570E-1,-2.664130926E-1,-2.519440353E-1,-2.934241295E-2
2.454185990E-1,-2.877130806E-1,-2.508790493E-1,-3.786241263E-2
2.504653700E-1,-3.015580773E-1,-2.434240580E-1,-4.212241247E-2
2.555204740E-1,-3.004930913E-1,-2.242540568E-1,-4.318741336E-2
2.605661510E-1,-2.855830789E-1,-1.976290643E-1,-4.638241231E-2
2.656256820E-1,-2.610880733E-1,-1.635490656E-1,-4.957741499E-2
2.706757340E-1,-2.344630808E-1,-1.188190505E-1,-5.277241394E-2
2.757207860E-1,-2.067730725E-1,-6.130905449E-2,-5.277241394E-2
2.807648490E-1,-1.822780818E-1,5.785944872E-3,-4.638241231E-2
2.858223490E-1,-1.652380824E-1,7.820595056E-2,-3.786241263E-2
2.908719320E-1,-1.609780788E-1,1.453009397E-1,-2.082241327E-2
2.959241720E-1,-1.588480771E-1,2.081359327E-1,-2.717413940E-3
3.009792760E-1,-1.556530744E-1,2.613859475E-1,1.858258620E-2
