"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.370246300E-2,-4.199984968E-1,2.708712101E0,9.105693817E0
3.869970300E-2,-3.337605000E-1,2.677570581E0,9.373990059E0
4.369694200E-2,-3.529244959E-1,2.663197517E0,9.512928963E0
4.878985900E-2,-3.625065088E-1,2.670383930E0,9.627913475E0
5.378709900E-2,-2.523134947E-1,2.612891912E0,9.788411140E0
5.887079700E-2,1.094070002E-1,2.569772959E0,1.013096809E1
6.386803600E-2,4.233299941E-2,2.416460991E0,1.009024429E1
6.901642200E-2,-4.679085016E-1,2.323036432E0,9.817157745E0
7.407428600E-2,-7.553684711E-1,2.243984938E0,9.675823212E0
7.907637000E-2,-9.014940262E-1,2.215239048E0,9.675823212E0
8.411767200E-2,-9.134715199E-1,2.131396532E0,9.730919838E0
8.918079700E-2,-8.583750129E-1,1.985270977E0,9.915372849E0
9.422574500E-2,-7.697414756E-1,1.858309507E0,1.021001911E1
9.928933800E-2,-7.314134836E-1,1.640318990E0,1.084243107E1
1.043285570E-1,-8.152559996E-1,1.587617993E0,1.111551857E1
1.093783490E-1,-9.374265075E-1,1.609177470E0,1.108916759E1
1.144486610E-1,-1.011687040E0,1.585222483E0,1.103886223E1
1.194973070E-1,-1.097924948E0,1.606781960E0,1.093346024E1
1.245416300E-1,-1.184162974E0,1.628341556E0,1.074182034E1
1.295849630E-1,-1.200931549E0,1.654692054E0,1.050466633E1
1.346451200E-1,-1.203326941E0,1.690624475E0,1.029386234E1
1.396856400E-1,-1.198536038E0,1.731348038E0,1.008305836E1
1.447382970E-1,-1.193745017E0,1.779258013E0,9.893813133E0
1.497970990E-1,-1.164999008E0,1.848727465E0,9.730919838E0
1.548483490E-1,-1.138648510E0,1.922988057E0,9.584794044E0
1.599035050E-1,-1.021268964E0,1.990061998E0,9.405131340E0
1.649441300E-1,-9.038894773E-1,2.073904514E0,9.244632721E0
1.700008490E-1,-7.817190289E-1,2.169724464E0,9.093716621E0
